tconst,originalTitle,titleType,startYear,genres,runtimeMinutes,akas_title,region,averageRating,numVotes,overview,poster_path,production_countries
tt0377770,Destino,short,2003,"['Animation', 'Short']",7,Destino,FR,7.6,6187,"Short film to a song of love lost and rediscovered, a woman sees and undergoes surreal transformations. Her lover's face melts off, she dons a dress from the shadow of a bell and becomes a dandelion, ants crawl out of a hand and become Frenchmen riding bicycles. Not to mention the turtles with faces on their backs that collide to form a ballerina, or the bizarre baseball game.",/klOt8irNPS8EVgWgYk4MGy3JW0R.jpg,['US']
tt0073099,Yozhik v tumane,short,1975,"['Animation', 'Drama', 'Family']",11,Le hérisson dans le brouillard,FR,8.1,8371,"A little hedgehog, on the way to visit his friend the bear, gets lost in thick fog, where horses, dogs and even falling leaves take on a terrifying new aspect...",/8h7tFBmvwyrHEQXhDCzQWE1ii8j.jpg,['SU']
tt0207639,The Old Man and the Sea,short,1999,"['Adventure', 'Animation', 'Drama']",20,Le vieil homme et la mer,FR,8.0,4697,"An old fisherman goes out on his fishing trip and makes a huge catch, the biggest of his life.",/fvzw2rXqSObcBc1RAIWYW7CzLuj.jpg,"['CA', ' JP', ' RU']"
tt0816562,The Little Matchgirl,short,2006,"['Animation', 'Drama', 'Family']",7,La petite fille aux allumettes,FR,7.8,5369,"An animated short based on Hans Christian Andersen's tale about a poor young girl with a burning desire to find comfort and happiness in her life. Desperate to keep warm, the girl lights the matches she sells, and envisions a very different life for herself in the fiery flames filled with images of loving relatives, bountiful food, and a place to call home.",/lMZ5Xb302XF8u50ct4G1kOz0iXk.jpg,['US']
tt1620446,Day & Night,short,2010,"['Animation', 'Comedy', 'Family']",6,Jour nuit,FR,8.0,20509,"When Day, a sunny fellow, encounters Night, a stranger of distinctly darker moods, sparks fly! Day and Night are frightened and suspicious of each other at first, and quickly get off on the wrong foot. But as they discover each other's unique qualities--and come to realize that each of them offers a different window onto the same world-the friendship helps both to gain a new perspective.",/hn2tOtidoYZ0D56jR4yknpdP1mU.jpg,['US']
tt0298597,Vremena goda,short,1975,"['Documentary', 'Short']",29,Les saisons,FR,7.5,957,"The last collaboration of Artavazd Peleshian and cinematographer Mikhail Vartanov is a film-essay about Armenia's shepherds, about the contradiction and the harmony between man and nature, scored to Vivaldi's Four Seasons.",/ltbRLRdAC0uEyFgAGuxY1adCYrh.jpg,['SU']
tt0114308,Runaway Brain,short,1995,"['Action', 'Adventure', 'Animation']",7,Mickey perd la tête,FR,7.3,1392,"In an attempt to convince Minnie that he hasn't forgotten to buy her an anniversary present, Mickey Mouse ends up promising to take her to Hawaii. Funds being short, he applies for a job as lab assistant to the sinister Dr. Frankenollie, who happens to be searching for a donor to provide his monstrous creation with a brain.",/oCAd6uK0xtjGNm4Zy5XQTDzSp7r.jpg,['US']
tt0142833,Sex and Violence,short,1997,"['Animation', 'Comedy', 'Short']",8,Sex & Violence,FR,7.3,544,"In eight minutes, animator Bill Plympton gives us 24 vignettes: seven are clearly about sex, 10 about violence, and seven others deal with human frailties, particularly the body as it ages. There are three stories of persons with confused priorities (including a guy tying his shoe while parachuting); the world's first phone sex; and a clever, if dangerous, way to find a lost key. Except for the titles of each sketch and a couple of jokes that turn on noise, these are visual trips into the psyche of men, women, God, animals, and Time (the enemy of us all).",/gXbiOgCkOXNdnDz9KFqYyWSXZ55.jpg,['US']
tt0321750,Comment Wang-Fo fut sauvé,short,1987,"['Animation', 'Fantasy', 'Short']",15,Comment Wang-Fo fut sauvé,FR,7.3,700,"Wang Fo, the greatest master of medieval China, aided by his assistant who has given up everything to follow him, desperately seeks aesthetic perfection. A day comes when he thinks he has achieved it. But his genius arouses both the curiosity and the jealousy of the Emperor. Wang Fo will be able to escape the Emperor's vindictiveness only by going to the limit of his talents.",/kWy2TeloMvHIwfDCavzyvoxcjvU.jpg,['FR']
tt0060183,Borom sarret,short,1963,"['Drama', 'Short']",20,L'Homme A La Charrette,FR,7.2,1591,"A cart-taxi driver goes to the city to make a living, but out of sympathy with other poverty-stricken people, he works for free and goes hungry himself.",/buWO5ZM894iVymerDmiFCEZDkNv.jpg,['SN']
