Titre,Lien_du_titre,information,image,date,ldb,ldb1,information2,information3,notation_detail,Duree,Genre,Origine,Annee,Realisateur,Acteurs,Conseils,note,Synopsis
MARMAILLE,https://www.cine974.com/film/marmaille/49700/, 1,https://www.cine974.com/images/affiches/moyen/marmaille-SWVYHT3d.jpg,"
								2024								",1,5.0,1h32,509, (14),1h32,Drame,"Français, Réunionnais",2024,Grégory Lucilly,"
	
			avec Maxime Calicharane, Brillana Domitile Clain, Vincent Vermignon, Délixia Perrine, Grazellia Estagie,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 5.0 | 14 avis ,"Thomas, un adolescent réunionnais de 15 ans, n’aspire qu’à remporter un concours de breakdance et partir pour la métropole. Mais quand sa mère le met brutalement à la rue ainsi que sa sœur Audrey, leur monde s’effondre. Placés chez leur père inconnu et livrés à eux-mêmes, ils doivent surmonter l’abandon et se reconstruire."
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS,https://www.cine974.com/film/le-seigneur-des-anneaux-les-deux-tours/478/, 2,https://www.cine974.com/images/affiches/moyen/le-seigneur-des-anneaux---les-deux-tours-NW69H8qx.jpg,"
								2002								",2,4.9,2h58,12834, (14),2h58,Action,Américain,,Peter Jackson,"
	
			avec Elijah Wood, Sean Astin, Viggo Mortensen, Ian McKellen, Christopher Lee,  plus...
	",, 4.9 | 14 avis ,"Après la mort de Boromir et la disparition de Gandalf, la Communauté s'est scindée en trois. Perdus dans les collines d'Emyn Muil, Frodon et Sam découvrent qu'ils sont suivis par Gollum, une créature versatile corrompue par l'Anneau. Celui-ci promet de conduire les Hobbits jusqu'à la Porte Noire du Mordor. A travers la Terre du Milieu, Aragorn, Legolas et Gimli font route vers le Rohan, le royaume assiégé de Theoden. Cet ancien grand roi, manipulé par l'espion de Saroumane, le sinistre Langue de Serpent, est désormais tombé sous la coupe du malfaisant Magicien. Eowyn, la nièce du Roi, reconnaît en Aragorn un meneur d'hommes. Entretemps, les Hobbits Merry et Pippin, prisonniers des Uruk-hai, se sont échappés et ont découvert dans la mystérieuse Forêt de Fangorn un allié inattendu : Sylvebarbe, gardien des arbres, représentant d'un ancien peuple végétal dont Saroumane a décimé la forêt..."
YANNICK,https://www.cine974.com/film/yannick/49697/, 3,https://www.cine974.com/images/affiches/moyen/yannick-pidXUKUc.jpg,"
								2023								",3,4.9,1h07,314, (12),1h07,Comédie,Français,2023,Quentin Dupieux,"
	
			avec Raphaël Quenard, Pio Marmai, Blanche Gardin, Sébastien Chassagne, Agnès Hurstel,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 4.9 | 12 avis ,"En pleine représentation de la pièce « Le Cocu », un très mauvais boulevard, Yannick se lève et interrompt le spectacle pour reprendre la soirée en main."
WATCHMEN - LES GARDIENS,https://www.cine974.com/film/watchmen-les-gardiens/1156/, 4,https://www.cine974.com/images/affiches/moyen/watchmen---les-gardiens-lSp3LhZb.jpg,"
								2009								",4,4.8,2h42,8638, (71),2h42,Action,"Américain, Britannique",2009,Zack Snyder,"
	
			avec Jackie Earle Haley, Patrick Wilson, Malin Akerman, Matthew Goode, Billy Crudup,  plus...
	",Interdit aux moins de 12 ans , 4.8 | 71 avis ,"Aventure à la fois complexe et mystérieuse sur plusieurs niveaux, ""Watchmen - Les Gardiens"" - se passe dans une Amérique alternative de 1985 où les super-héros font partie du quotidien et où l'Horloge de l'Apocalypse -symbole de la tension entre les Etats-Unis et l'Union Soviétique- indique en permanence minuit moins cinq. Lorsque l'un de ses anciens collègues est assassiné, Rorschach, un justicier masqué un peu à plat mais non moins déterminé, va découvrir un complot qui menace de tuer et de discréditer tous les super-héros du passé et du présent. Alors qu'il reprend contact avec son ancienne légion de justiciers -un groupe hétéroclite de super-héros retraités, seul l'un d'entre-eux possède de véritables pouvoirs- Rorschach entrevoit un complot inquiétant et de grande envergure lié à leur passé commun et qui aura des conséquences catastrophiques pour le futur. Leur mission est de protéger l'humanité... Mais qui veille sur ces gardiens ?"
BODYGUARD,https://www.cine974.com/film/bodyguard/3414/, 5,https://www.cine974.com/images/affiches/moyen/bodyguard-3Ids8fAZ.jpg,"
								1992								",5,4.8,2h09,7157, (31),2h09,Comédie dramatique,Américain,,Mick Jackson,"
	
			avec Kevin Costner, Whitney Houston, Gary Kemp, Bill Cobbs, Ralph Waite,  plus...
	",, 4.8 | 31 avis ,"Frank Farmer, ancien agent des services secrets, est un garde du corps emerite qui a mis ses talents a la disposition de deux presidents et de nombreux financiers et politiciens de reputation internationale. Un jour l'impresario Bill Devaney lui propose un contrat avantageux pour assurer la protection de sa cliente Rachel, comedienne et chanteuse en pleine ascension, menacee par un fan inconnu."
CHER JOHN,https://www.cine974.com/film/cher-john/24839/, 6,https://www.cine974.com/images/affiches/moyen/cher-john-A9FVFYSk.jpg,"
								2010								",6,4.8,1h45,7086, (12),1h45,Drame,Américain,2010,Lasse Hallström,"
	
			avec Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, Scott Porter,  plus...
	",, 4.8 | 12 avis ,"Lorsque John Tyree, un soldat des Forces Spéciales en permission, et Savannah Curtis, une étudiante idéaliste, se rencontrent sur une plage, c'est le coup de foudre. Bien qu'appartenant à deux mondes différents, une passion absolue les réunit pendant deux semaines. John repart ensuite en mission et Savannah retourne à l'université, mais ils promettent de s'écrire et à travers leurs lettres enflammées, leur amour ne fait que grandir. Chaque jour plus inquiète pour la sécurité de son bien-aimé, Savannah s'interroge. Alors que désirs et responsabilités s'opposent toujours plus, le couple lutte pour maintenir ses engagements. Quand une tragédie oblige John à rentrer, les deux jeunes gens se retrouvent face à leurs contradictions. John et Savannah vont découvrir si leur amour peut vraiment survivre à tout..."
ETERNAL SUNSHINE OF THE SPOTLESS MIND,https://www.cine974.com/film/eternal-sunshine-of-the-spotless-mind/904/, 7,https://www.cine974.com/images/affiches/moyen/eternal-sunshine-of-the-spotless-mind-VWJCcsk4.jpg,"
								2004								",7,4.7,1h48,7069, (114),1h48,Comédie,Américain,2004,Michel Gondry,"
	
			avec Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood,  plus...
	",, 4.7 | 114 avis ,"Joel et Clementine ne voient plus que les mauvais côtés de leur tumultueuse histoire d'amour, au point que celle-ci fait effacer de sa mémoire toute trace de cette relation. Effondré, Joel contacte l'inventeur du procédé Lacuna, le Dr. Mierzwiak, pour qu'il extirpe également de sa mémoire tout ce qui le rattachait à Clementine. Deux techniciens, Stan et Patrick, s'installent à son domicile et se mettent à l'oeuvre, en présence de la secrétaire, Mary. Les souvenirs commencent à défiler dans la tête de Joel, des plus récents aux plus anciens, et s'envolent un à un, à jamais. Mais en remontant le fil du temps, Joel redécouvre ce qu'il aimait depuis toujours en Clementine - l'inaltérable magie d'un amour dont rien au monde ne devrait le priver. Luttant de toutes ses forces pour préserver ce trésor, il engage alors une bataille de la dernière chance contre Lacuna..."
LE TOMBEAU DES LUCIOLES,https://www.cine974.com/film/le-tombeau-des-lucioles/404/, 8,https://www.cine974.com/images/affiches/moyen/le-tombeau-des-lucioles-rkrhtaZ1.jpg,"
								1988								",8,4.7,1h30,18624, (106),1h30,Animation,Japonais,1988,Isao Takahata,"
	
			avec J. Robert Spencer, Ayano Shiraishi, Veronica Taylor, Amy Jones, Rhoda Chrosite,  plus...
	",, 4.7 | 106 avis ,"Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de partir avec sa petite soeur. Ils se réfugient dans un bunker désaffecté en pleine campagne et vivent des jours heureux illuminés par la présence de milliers de lucioles. Mais bientôt la nourriture commence cruellement à manquer."
UN P'TIT TRUC EN PLUS,https://www.cine974.com/film/un-p-tit-truc-en-plus/49254/, 9,https://www.cine974.com/images/affiches/moyen/un-p-tit-truc-en-plus-WlMiIlfL.jpg,"
								2024								",9,4.7,1h39,21308, (95),1h39,Comédie,Français,2024,Artus,"
	
			avec Artus, Clovis Cornillac, Alice Belaïdi, Marc Riso, Céline Groussard,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 4.7 | 95 avis ,"Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des ennuis et d'une formidable expérience humaine qui va les changer à jamais."
MANON DES SOURCES,https://www.cine974.com/film/manon-des-sources/485/, 10,https://www.cine974.com/images/affiches/moyen/manon-des-sources-hFyFpVqh.jpg,"
								1986								",10,4.7,2h00,6576, (58),2h00,Drame,"Français, Italien",,Claude Berri,"
	
			avec Yves Montand, Daniel Auteuil, Emmanuelle Béart, Hippolyte Girardot, Elisabeth Depardieu,  plus...
	",, 4.7 | 58 avis ,"Dix ans plus tard. Manon vit dans la grotte de Baptistine dans les collines tandis que Ugolin culpabilise, amoureux fou de la belle. Elle va découvrir la source qui alimente le village et la détourner. Elle tient enfin sa vengeance. Peu à peu les langues du village se délient. La loi du silence est rompue et le Papet et Ugolin sont accusés d'avoir tué le père de Manon, Jean de Florette. Pour le Papet une autre terrible vérité éclate..."
"LE BON, LA BRUTE ET LE TRUAND",https://www.cine974.com/film/le-bon-la-brute-et-le-truand/494/, 11,https://www.cine974.com/images/affiches/moyen/le-bon--la-brute-et-le-truand-iYnPbSUc.jpg,"
								1968								",11,4.7,3h00,8412, (43),3h00,Western,"Espagnol, Italien",,Sergio Leone,"
	
			avec Clint Eastwood, Eli Wallach, Lee Van Cleef, Luigi Pistilli, Rada Rassimov,  plus...
	",, 4.7 | 43 avis ,"Pendant la Guerre de Sécession, trois hommes, préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Tuco sait que le trésor se trouve dans un cimetière, tandis que Joe connaît le nom inscrit sur la pierre tombale qui sert de cache. Chacun a besoin de l'autre. Mais un troisième homme entre dans la course : Setenza, une brute qui n'hésite pas à massacrer femmes et enfants pour parvenir à ses fins."
VERY BAD TRIP,https://www.cine974.com/film/very-bad-trip/749/, 12,https://www.cine974.com/images/affiches/moyen/very-bad-trip-7qNtRiK2.jpg,"
								2009								",12,4.7,1h30,6277, (37),1h30,Comédie,"Américain, Allemand",,Todd Phillips,"
	
			avec Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham,  plus...
	",, 4.7 | 37 avis ,
SHUTTER ISLAND,https://www.cine974.com/film/shutter-island/1323/, 13,https://www.cine974.com/images/affiches/moyen/shutter-island-cuQgTtMF.jpg,"
								2010								",13,4.7,2h17,6936, (28),2h17,Thriller,Américain,,Martin Scorsese,"
	
			avec Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Emily Mortimer,  plus...
	",Interdit aux moins de 12 ans, 4.7 | 28 avis ,
VAIANA 2,https://www.cine974.com/film/vaiana-2/49175/, 14,https://www.cine974.com/images/affiches/moyen/vaiana-2-SAgxK5rk.jpg,"
								2024								",14,4.7,1h40,9782, (17),1h40,Animation,Américain,2024,David G. Derrick Jr.,"
	
			avec Dwayne Johnson, Auli'i Cravalho, Alan Tudyk, Nicole Scherzinger, Rachel House,  plus...
	","en salle à Multiplexe Ciné Grand Sud, Multiplexe Ciné Cambaie", 4.7 | 17 avis ,
LES TONTONS FLINGUEURS,https://www.cine974.com/film/les-tontons-flingueurs/225/, 15,https://www.cine974.com/images/affiches/moyen/les-tontons-flingueurs-UMreXK5P.jpg,"
								1963								",15,4.6,1h52,11554, (302),1h52,Comédie,"Allemand, Français, Italien",1963,Georges Lautner,"
	
			avec Lino Ventura, Bernard Blier, Francis Blanche, Claude Rich, Pierre Bertin,  plus...
	",, 4.6 | 302 avis ,"Sur son lit de mort, le Mexicain fait promettre à son ami d'enfance, Fernand Naudin, de veiller sur ses intérêts et sa fille Patricia. Fernand découvre alors qu'il se trouve à la tête d'affaires louches dont les anciens dirigeants entendent bien s'emparer. Mais, flanqué d'un curieux notaire et d'un garde du corps, Fernand impose d'emblée sa loi. Cependant, le belle Patricia lui réserve quelques surprises !"
"THE DARK KNIGHT, LE CHEVALIER NOIR",https://www.cine974.com/film/the-dark-knight-le-chevalier-noir/396/, 16,https://www.cine974.com/images/affiches/moyen/the-dark-knight--le-chevalier-noir-Q817de5h.jpg,"
								2008								",16,4.6,2h32,31968, (294),2h32,Action,"Américain, Britannique",2008,Christopher Nolan,"
	
			avec Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal, Michael Caine,  plus...
	",, 4.6 | 294 avis ,"Dans ce nouveau volet, Batman augmente les mises dans sa guerre contre le crime. Avec l'appui du lieutenant de police Jim Gordon et du procureur de Gotham, Harvey Dent, Batman vise à éradiquer le crime organisé qui pullule dans la ville. Leur association est très efficace mais elle sera bientôt bouleversée par le chaos déclenché par un criminel extraordinaire que les citoyens de Gotham connaissent sous le nom de Joker."
MAN OF STEEL,https://www.cine974.com/film/man-of-steel/623/, 17,https://www.cine974.com/images/affiches/moyen/man-of-steel-djmc3PuL.jpg,"
								2013								",17,4.6,2h23,23361, (223),2h23,Action,"Américain, Britannique",2013,Zack Snyder,"
	
			avec Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Russell Crowe,  plus...
	",, 4.6 | 223 avis ,"Un petit garçon découvre qu'il possède des pouvoirs surnaturels et qu'il n'est pas né sur Terre. Plus tard, il s'engage dans un périple afin de comprendre d'où il vient et pourquoi il a été envoyé sur notre planète. Mais il devra devenir un héros s'il veut sauver le monde de la destruction totale et incarner l'espoir pour toute l'humanité."
LE SEIGNEUR DES ANNEAUX : LA COMMUNAUTÉ DE L'ANNEAU,https://www.cine974.com/film/le-seigneur-des-anneaux-la-communaute-de-l-anneau/482/, 18,https://www.cine974.com/images/affiches/moyen/le-seigneur-des-anneaux---la-communaut---de-l-anneau-2NpZ7YmB.jpg,"
								2001								",18,4.6,2h58,27776, (189),2h58,Aventure,Américain,2001,Peter Jackson,"
	
			avec Elijah Wood, Sean Astin, Ian McKellen, Sala Baker, Viggo Mortensen,  plus...
	",, 4.6 | 189 avis ,"Dans ce chapitre de la trilogie, le jeune et timide Hobbit, Frodon Sacquet, hérite d'un anneau. Bien loin d'être une simple babiole, il s'agit de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu et de réduire en esclavage ses peuples. À moins que Frodon, aidé d'une Compagnie constituée de Hobbits, d'Hommes, d'un Magicien, d'un Nain, et d'un Elfe, ne parvienne à emporter l'Anneau à travers la Terre du Milieu jusqu'à la Crevasse du Destin, lieu où il a été forgé, et à le détruire pour toujours. Un tel périple signifie s'aventurer très loin en Mordor, les terres du Seigneur des ténèbres, où est rassemblée son armée d'Orques maléfiques... La Compagnie doit non seulement combattre les forces extérieures du mal mais aussi les dissensions internes et l'influence corruptrice qu'exerce l'Anneau lui-même. L'issue de l'histoire à venir est intimement liée au sort de la Compagnie."
MATRIX,https://www.cine974.com/film/matrix/311/, 19,https://www.cine974.com/images/affiches/moyen/matrix-DavI62GM.jpg,"
								1999								",19,4.6,2h15,24067, (167),2h15,Action,"Américain, Australien",1999,Lana Wachowski,"
	
			avec Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Joe Pantoliano,  plus...
	",, 4.6 | 167 avis ,"Programmeur anonyme dans un service administratif le jour, Thomas Anderson devient Neo la nuit venue. Sous ce pseudonyme, il est l'un des pirates les plus recherchés du cyber-espace. A cheval entre deux mondes, Neo est assailli par d'étranges songes et des messages cryptés provenant d'un certain Morpheus. Celui-ci l'exhorte à aller au-delà des apparences et à trouver la réponse à la question qui hante constamment ses pensées : qu'est-ce que la Matrice ? Nul ne le sait, et aucun homme n'est encore parvenu à en percer les defenses. Mais Morpheus est persuadé que Neo est l'Elu, le libérateur mythique de l'humanité annoncé selon la prophétie. Ensemble, ils se lancent dans une lutte sans retour contre la Matrice et ses terribles agents..."
ZACK SNYDER'S JUSTICE LEAGUE,https://www.cine974.com/film/zack-snyder-s-justice-league/46203/, 20,https://www.cine974.com/images/affiches/moyen/zack-snyder-s-justice-league-PdQHFh2D.jpg,"
								2021								",20,4.6,4h00,23083, (136),4h00,Action,Américain,2021,Zack Snyder,"
	
			avec Ben Affleck, Henry Cavill, Gal Gadot, Jason Momoa, Ezra Miller,  plus...
	",, 4.6 | 136 avis ,"La version de ""Justice League"" telle que Zack Snyder l'avait imaginée avant d'être remplacé par Joss Whedon."
LA LISTE DE SCHINDLER,https://www.cine974.com/film/la-liste-de-schindler/1284/, 21,https://www.cine974.com/images/affiches/moyen/la-liste-de-schindler-VQlkUxy8.jpg,"
								1993								",21,4.6,3h15,10957, (118),3h15,Historique,Américain,1993,Steven Spielberg,"
	
			avec Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall,  plus...
	",, 4.6 | 118 avis ,
EDWARD AUX MAINS D'ARGENT,https://www.cine974.com/film/edward-aux-mains-d-argent/402/, 22,https://www.cine974.com/images/affiches/moyen/edward-aux-mains-d-argent-ptYsx6KE.jpg,"
								1990								",22,4.6,1h45,14975, (85),1h45,Comédie,Américain,1990,Tim Burton,"
	
			avec Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, O-Lan Jones,  plus...
	",, 4.6 | 85 avis ,"Edward Scissorhands n'est pas un garçon ordinaire. Création d'un inventeur, il a reçu un cœur pour aimer, un cerveau pour comprendre. Mais son concepteur est mort avant d'avoir pu terminer son œuvre et Edward se retrouve avec des lames de métal et des instruments tranchants en guise de doigts."
RAIN MAN,https://www.cine974.com/film/rain-man/440/, 23,https://www.cine974.com/images/affiches/moyen/rain-man-HXHDmjQs.jpg,"
								1989								",23,4.6,2h13,10897, (85),2h13,Comédie dramatique,Américain,,Barry Levinson,"
	
			avec Dustin Hoffman, Tom Cruise, Valeria Golino, Jerry Molen, Jack Murdock,  plus...
	",, 4.6 | 85 avis ,
L'AGENCE,https://www.cine974.com/film/l-agence/8766/, 24,https://www.cine974.com/images/affiches/moyen/l-agence-xpNvN3jD.jpg,"
								2011								",24,4.6,1h47,14900, (71),1h47,Romance,Américain,2011,George Nolfi,"
	
			avec Matt Damon, Emily Blunt, Michael Kelly, Anthony Mackie, Terence Stamp,  plus...
	",, 4.6 | 71 avis ,"Sommes-nous maîtres de notre destin ? Ou sommes-nous manipulés par des forces invisibles ? David Norris entrevoit l'avenir que le Sort lui réserve et se rend compte qu'il aspire à une autre vie que celle qui lui a été tracée. Pour y parvenir, il va devoir poursuivre la femme, dont il est tombé follement amoureux, à travers les rues de New York et ses réseaux souterrains..."
MARTYRS,https://www.cine974.com/film/martyrs/5347/, 25,https://www.cine974.com/images/affiches/moyen/martyrs-aawK8KdH.jpg,"
								2008								",25,4.6,1h40,12575, (68),1h40,Epouvante-horreur,"Canadien, Français",2008,Pascal Laugier,"
	
			avec Mylène Jampanoï, Morjana Alaoui, Catherine Bégin, Patricia Tulasne, Robert Toupin,  plus...
	",Interdit aux moins de 16 ans avec avertissement, 4.6 | 68 avis ,"France, début des années 70.Lucie, une petite fille de dix ans, disparue quelques mois plus tôt, est retrouvée errant sur la route. Son corps maltraité ne porte aucune trace d'agression sexuelle. Les raisons de son enlèvement restent mystérieuses.Traumatisée, mutique, elle est placée dans un hôpital où elle se lie d'amitié avec Anna, une fille de son âge.15 ans plus tard.On sonne à la porte d'une famille ordinaire. Le père ouvre et se retrouve face à Lucie, armée d'un fusil de chasse. Persuadée d'avoir retrouvé ses bourreaux, elle tire."
APOCALYPSE NOW,https://www.cine974.com/film/apocalypse-now/406/, 26,https://www.cine974.com/images/affiches/moyen/apocalypse-now-eSwUybSz.jpg,"
								1979								",26,4.6,3h22,10310, (56),3h22,Guerre,Américain,,Francis Ford Coppola,"
	
			avec Martin Sheen, Marlon Brando, Frederic Forrest, Robert Duvall, Sam Bottoms,  plus...
	",, 4.6 | 56 avis ,
RETOUR VERS LE FUTUR,https://www.cine974.com/film/retour-vers-le-futur/1095/, 27,https://www.cine974.com/images/affiches/moyen/retour-vers-le-futur-QbWypV18.jpg,"
								1985								",27,4.6,1h56,7147, (50),1h56,Aventure,Américain,1985,Robert Zemeckis,"
	
			avec Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 4.6 | 50 avis ,"1985. Le jeune Marty McFly mène une existence anonyme auprès de sa petite amie Jennifer, seulement troublée par sa famille en crise et un proviseur qui serait ravi de l'expulser du lycée. Ami de l'excentrique professeur Emmett Brown, il l'accompagne un soir tester sa nouvelle expérience : le voyage dans le temps via une DeLorean modifiée. La démonstration tourne mal : des trafiquants d'armes débarquent et assassinent le scientifique. Marty se réfugie dans la voiture et se retrouve transporté en 1955. Là, il empêche malgré lui la rencontre de ses parents, et doit tout faire pour les remettre ensemble, sous peine de ne pouvoir exister..."
LE CERCLE DES POÈTES DISPARUS,https://www.cine974.com/film/le-cercle-des-poetes-disparus/433/, 28,https://www.cine974.com/images/affiches/moyen/le-cercle-des-po--tes-disparus-psxmT1Kw.jpg,"
								1989								",28,4.6,2h08,15445, (39),2h08,Comédie dramatique,Américain,1989,Peter Weir,"
	
			avec Robin Williams, Ethan Hawke, Robert Sean Leonard, Josh Charles, Gale Hansen,  plus...
	",, 4.6 | 39 avis ,
SEPT ANS AU TIBET,https://www.cine974.com/film/sept-ans-au-tibet/3938/, 29,https://www.cine974.com/images/affiches/moyen/sept-ans-au-tibet-qY7n3Dfy.jpg,"
								1997								",29,4.6,2h15,10354, (38),2h15,Aventure,"Britannique, Américain",,Jean-Jacques Annaud,"
	
			avec Brad Pitt, David Thewlis, Jamyang Wangchuck, B.D. Wong, Victor Wong,  plus...
	",, 4.6 | 38 avis ,
MR WOLFF,https://www.cine974.com/film/mr-wolff/3483/, 30,https://www.cine974.com/images/affiches/moyen/mr-wolff-lX5dQlRf.jpg,"
								2016								",30,4.6,2h10,11944, (25),2h10,Action,Américain,2016,Gavin O'Connor,"
	
			avec Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal, Andy Umberger,  plus...
	",, 4.6 | 25 avis ,"L’histoire de Christian Wolff, un expert-comptable dans le civil qui est en réalité à la solde de la mafia. Petit génie des mathématiques, Christian Wolff est plus à l'aise avec les chiffres qu'avec les gens. Expert-comptable dans le civil, il travaille en réalité pour plusieurs organisations mafieuses parmi les plus dangereuses au monde. Lorsque la brigade anti-criminalité du ministère des Finances s'intéresse d'un peu trop près à ses affaires, Christian cherche à faire diversion : il accepte de vérifier les comptes d'une entreprise de robotique ayant pignon sur rue. Problème : la comptable de la société a décelé un détournement de fonds de plusieurs millions de dollars. Tandis que Christian épluche les comptes et découvre les rouages de l'escroquerie, les cadavres s'accumulent…"
LA RÉSURRECTION DU CHRIST,https://www.cine974.com/film/la-resurrection-du-christ/7520/, 31,https://www.cine974.com/images/affiches/moyen/la-r--surrection-du-christ-VtPpxLLF.jpg,"
								2016								",31,4.6,1h42,10566, (15),1h42,Action,Américain,2016,Kevin Reynolds,"
	
			avec Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis, Maria Botto,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, en Solo", 4.6 | 15 avis ,"Clavius, un puissant tribun militaire romain, et son aide de camp Lucius sont chargés de résoudre le mystère entourant ce qui est arrivé à un Hébreu nommé Yeshua après sa crucifixion. S’ils veulent empêcher une insurrection à Jérusalem, ils doivent à tout prix mettre fin aux rumeurs assurant qu’un Messie est revenu d’entre les morts..."
SI C'ÉTAIT À REFAIRE,https://www.cine974.com/film/si-c-etait-a-refaire/6989/, 32,https://www.cine974.com/images/affiches/moyen/si-c---tait----refaire-8VJvUU5i.jpg,"
								1976								",32,4.6,1h40,7357, (5),1h40,Comédie dramatique,Français,,Claude Lelouch,"
	
			avec Catherine Deneuve, Anouk Aimée, Charles Denner, Francis Huster, Colette Baudot,  plus...
	",, 4.6 | 5 avis ,
CRÉSUS,https://www.cine974.com/film/cresus/17884/, 33,https://www.cine974.com/images/affiches/moyen/cr--sus-yp1gHtWQ.jpg,"
								1960								",33,4.5,1h40,7172, (362),1h40,Comédie,Français,,Jean Giono,"
	
			avec Fernandel, Rellys, Marcelle Ranson-Hervé, Olivier Hussenot, Sylvie,  plus...
	",, 4.5 | 362 avis ,
LA GRANDE VADROUILLE,https://www.cine974.com/film/la-grande-vadrouille/419/, 34,https://www.cine974.com/images/affiches/moyen/la-grande-vadrouille-NarNUE7Y.jpg,"
								1966								",34,4.5,2h12,10687, (277),2h12,Comédie,"Britannique, Français",1966,Gérard Oury,"
	
			avec Bourvil, Louis de Funès, Claudio Brook, Mike Marshall, Marie Dubois,  plus...
	",, 4.5 | 277 avis ,"En 1942, un avion anglais est abattu par les Allemands au-dessus de Paris. Les trois pilotes sautent en parachute et atterrissent dans différents endroits de la capitale. Ils sont aidés par deux civils français, un chef d'orchestre et un peintre en bâtiment qui acceptent de les mener en zone libre; ils deviennent ainsi, malgré eux, acteurs de la Résistance."
JEAN DE FLORETTE,https://www.cine974.com/film/jean-de-florette/476/, 35,https://www.cine974.com/images/affiches/moyen/jean-de-florette-enWWWmPT.jpg,"
								1986								",35,4.5,2h00,7649, (168),2h00,Drame,"Français, Italien, Suisse",1986,Claude Berri,"
	
			avec Yves Montand, Gérard Depardieu, Daniel Auteuil, Elisabeth Depardieu, Guillaume Depardieu,  plus...
	",, 4.5 | 168 avis ,"Dans un petit village de Haute Provence, Jean de Florette vient s'installer sur le terrain dont il vient d'hériter et rêve à de merveilleuses cultures. Mais Ugolin a lui aussi un projet pour ce terrain : y faire pousser des oeillets. Le vieil oncle Papet va l'y aider..."
TAKEN,https://www.cine974.com/film/taken/667/, 36,https://www.cine974.com/images/affiches/moyen/taken-K8Jr6kAV.jpg,"
								2008								",36,4.5,1h25,14900, (157),1h25,Action,Français,2008,Pierre Morel,"
	
			avec Liam Neeson, Maggie Grace, Famke Janssen, Xander Berkeley, Katie Cassidy,  plus...
	",Interdit aux moins de 12 ans, 4.5 | 157 avis ,"Que peut-on imaginer de pire pour un père que d'assister impuissant à l'enlèvement de sa fille via un téléphone portable ? C'est le cauchemar vécu par Bryan, ancien agent des services secrets américains, qui n'a que quelques heures pour arracher Kim des mains d'un redoutable gang spécialisé dans la traite des femmes. Premier problème à résoudre : il est à Los Angeles, elle vient de se faire enlever à Paris."
