Titre,Lien_du_titre,information,image,date,ldb,ldb1,information2,information3,notation_detail,Duree,Genre,Origine,Annee,Realisateur,Acteurs,Conseils,note,Synopsis
GOAL OF THE DEAD - PREMIÈRE MI-TEMPS,https://www.cine974.com/film/goal-of-the-dead-premiere-mi-temps/5370/, 2569,https://www.cine974.com/images/affiches/moyen/goal-of-the-dead---premi--re-mi-temps-aTGiU2FF.jpg,"
								2014								",2569,3.1,1h10,5597, (18),1h10,Epouvante-horreur,Français,,Benjamin Rocher,"
	
			avec Alban Lenoir, Charlie Bruneau, Ahmed Sylla, Patrick Ligardes, Bruno Salomone,  plus...
	",, 3.1 | 18 avis ,
PRIMADONNA,https://www.cine974.com/film/primadonna/49430/, 2570,https://www.cine974.com/images/affiches/moyen/primadonna-RjplgGzB.jpg,"
								2022								",2570,3.1,1h37,1523, (17),1h37,Drame,"Français, Italien",2022,Marta Savina,"
	
			avec Claudia Gusmano, Fabrizio Ferracane, Francesco Colella, Manuela Ventura, Dario Aita,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs, en Solo", 3.1 | 17 avis ,"Sicile, 1965. Lia a grandi dans un village rural. Elle est belle, têtue et sait ce qu'elle veut. Lorenzo, fils d'un patron local, tente de la séduire. Lorsqu'elle le rejette, fou de rage, il décide de la prendre de force. Au lieu d'accepter un mariage forcé, Lia le traîne au tribunal. Cet acte va pulvériser les habitudes sociales de son époque et va ouvrir la voie au combat pour les droits des femmes."
VOLONTAIRE,https://www.cine974.com/film/volontaire/39193/, 2571,https://www.cine974.com/images/affiches/moyen/volontaire-JJsaf8nT.jpg,"
								2017								",2571,3.1,1h41,8643, (17),1h41,Comédie dramatique,Français,2017,Hélène Fillières,"
	
			avec Lambert Wilson, Diane Rouxel, Corentin Fila, Alex Descas, Jonathan Couzinié,  plus...
	",, 3.1 | 17 avis ,"Laure a 23 ans. Elle se cherche. C’est dans la Marine Nationale qu’elle va trouver un cadre, une structure, des repères. Solide et persévérante, elle va faire son apprentissage et découvrir sa voie."
A BAG OF HAMMERS,https://www.cine974.com/film/a-bag-of-hammers/44318/, 2572,https://www.cine974.com/images/affiches/moyen/a-bag-of-hammers-fTfmIyGF.jpg,"
								2010								",2572,3.1,1h25,6701, (17),1h25,Comédie dramatique,Américain,2010,Brian Crano,"
	
			avec Jason Ritter, Jake Sandvig, Chandler Canterbury, Rebecca Hall, Todd Louiso,  plus...
	",, 3.1 | 17 avis ,"Ben et Alan, deux meilleurs amis qui ont un peu de mal à sortir de l'adolescence et à trouver un but à leur vie, se retrouvent en charge du jeune Kelsey, dont la mère vient de se suicider. Cette nouvelle responsabilité va tout à coup les forcer à grandir..."
"DU BLEU, AU-DESSUS DES TOITS",https://www.cine974.com/film/du-bleu-au-dessus-des-toits/21166/, 2573,https://www.cine974.com/images/affiches/moyen/du-bleu--au-dessus-des-toits-tGCnFwTN.jpg,"
								2014								",2573,3.1,1h48,3154, (17),1h48,Comédie,Français,2014,Stéphane Kowalczyk,"
	
			avec Michel Sidobre, Patrick Milani, Serge Elie Masson, Henri Cohen, Jean-Paul Joguin, 
	",, 3.1 | 17 avis ,"À bout de souffle et d’espérances, trois hommes se rencontrent une nuit sur les bords du canal du Midi. Superbes chevaliers des temps modernes, ils décident de partir à l’assaut de cet impitoyable monde. Pour atteindre leur quête, le seul moyen encore efficace à leurs yeux, consiste à retourner, contre lui, les règles du jeu que ce monde sécrète : la puissance communicationnelle du buzz. Mais ne devient pas stratège qui veut ! Et les exploits des idéalistes aventuriers n’atteignent pas forcément à tous les coups leur cible. Pourtant, insensiblement, au fond du vase, quelque chose."
NOUVEAU DÉPART,https://www.cine974.com/film/nouveau-depart/48821/, 2574,https://www.cine974.com/images/affiches/moyen/nouveau-depart-TRpGTFHg.jpg,"
								2023								",2574,3.1,1h40,4590, (17),1h40,Comédie,Français,2023,Philippe Lefebvre,"
	
			avec Clémentine Baert, Clotilde Courau, Franck Dubosc, Youssef Hajdi, Bérengère Krief,  plus...
	","conseillé en Famille, en Amoureux, entre Filles, en Solo", 3.1 | 17 avis ,"Alain et Diane ont 30 ans de vie commune. Alain, dans sa tête, les 30 ans il les a toujours. Mais l’équation 30 ans au compteur routine des sentiments, nid vide (et accessoirement un job où avoir 50 ans s’apparente à une maladie incurable) crée chez Diane un effet beaucoup moins euphorisant. Elle oscille entre déprime et chute libre – et le premier qui dit « hormonale » elle le fume. Alain aime Diane comme un fou et l’amour c’est des preuves. Il va faire quelque chose de fou pour elle, un truc pour qu’elle retrouve la vitalité, qu’elle entende vibrer son cœur et palpiter la jeunesse. Le truc fou ? La quitter. Le risque avec les électrochocs ? Archiconnu : soit ça réveille, soit ça crame. Ils vont le prendre, les yeux fermés."
L'IMPROBABLE VOYAGE D'HAROLD FRY,https://www.cine974.com/film/l-improbable-voyage-d-harold-fry/48578/, 2575,https://www.cine974.com/images/affiches/moyen/the-unlikely-pilgrimage-of-harold-fry-UeX4t3Uf.jpg,"
								2023								",2575,3.1,1h48,4980, (17),1h48,Drame,Britannique,2023,Hettie MacDonald,"
	
			avec Jim Broadbent, Penelope Wilton, Earl Cave, Linda Bassett, Daniel Frogson,  plus...
	",, 3.1 | 17 avis ,"« Je vais marcher, et tu vivras. » Tout juste retraité, Harold Fry mène une vie maussade aux côtés de sa femme Maureen. Lorsqu’il apprend que sa vieille amie Queenie est mourante, il sort de chez lui bouleversé pour lui poster une lettre... mais il décide de continuer à marcher pour se rendre à son chevet. Sa lettre en poche, il se lance alors dans un improbable périple de plus de 700km à travers l’Angleterre, avec l'intime conviction que son voyage maintiendra Queenie en vie. Au fil de rencontres inattendues et libératrices, Harold pourra-t-il se redonner une chance ?"
SOUS LE TAPIS,https://www.cine974.com/film/sous-le-tapis/48630/, 2576,https://www.cine974.com/images/affiches/moyen/sous-le-tapis-PYMG45rT.jpg,"
								2023								",2576,3.1,1h38,3821, (17),1h38,Comédie dramatique,Français,2023,Camille Japy,"
	
			avec Ariane Ascaride, Bérénice Bejo, Thomas Scimeca, Marilou Aussilloux, Stéphane Brel,  plus...
	",, 3.1 | 17 avis ,"Odile se prépare à fêter son anniversaire. Alors que ses enfants et petits enfants sont en route pour la soirée, Jean, son mari, décède brutalement. Incapable de faire face à cette réalité, elle le cache sous son lit..."
JUSTINIEN TROUVÉ OU LE BÂTARD DE DIEU,https://www.cine974.com/film/justinien-trouve-ou-le-batard-de-dieu/33043/, 2577,https://www.cine974.com/images/affiches/moyen/justinien-trouv---ou-le-b--tard-de-dieu-8HdMKuQG.jpg,"
								1992								",2577,3.1,2h40,5388, (16),2h40,Historique,Français,1992,Christian Fechner,"
	
			avec Pierre-Olivier Mornas, Bernard-Pierre Donnadieu, Ticky Holgado, Bernard Haller, Patrice Valota,  plus...
	",, 3.1 | 16 avis ,
TYLER RAKE 2,https://www.cine974.com/film/tyler-rake-2/47647/, 2578,https://www.cine974.com/images/affiches/moyen/tyler-rake-2-Dh4REAen.jpg,"
								2022								",2578,3.1,2h02,3060, (16),2h02,Action,Américain,2022,Sam Hargrave,"
	
			avec Chris Hemsworth, Olga Kurylenko, Golshifteh Farahani, Daniel Bernhardt, Tinatin Dalakishvili,  plus...
	",, 3.1 | 16 avis ,"Après avoir miraculeusement survécu aux événements du premier volet, le mercenaire australien des forces spéciales Tyler Rake est de retour pour une nouvelle mission périlleuse : extraire de prison la famille martyrisée d'un impitoyable gangster géorgien."
"CALAMITY, UNE ENFANCE DE MARTHA JANE CANNARY",https://www.cine974.com/film/calamity-une-enfance-de-martha-jane-cannary/46498/, 2579,https://www.cine974.com/images/affiches/moyen/calamity--une-enfance-de-martha-jane-cannary-uq46QgHL.jpg,"
								2020								",2579,3.1,1h22,8433, (16),1h22,Animation,Français,2020,Rémi Chayé,"
	
			avec Salomé Boulven, Alexandra Lamy, Alexis Tomassian, Jochen Haegele, Damien Witeka,  plus...
	","conseillé en Famille, pour Marmailles", 3.1 | 16 avis ,"1863, États-Unis d’Amérique. Dans un convoi qui progresse vers l’Ouest avec l’espoir d’une vie meilleure, le père de Martha Jane se blesse. C’est elle qui doit conduire le chariot familial et soigner les chevaux. L’apprentissage est rude et pourtant Martha Jane ne s’est jamais sentie aussi libre. Et comme c’est plus pratique pour faire du cheval, elle n’hésite pas à passer un pantalon. C’est l’audace de trop pour Abraham, le chef du convoi. Accusée de vol, Martha est obligée de fuir. Habillée en garçon, à la recherche des preuves de son innocence, elle découvre un monde en construction où sa personnalité unique va s’affirmer. Une aventure pleine de dangers et riche en rencontres qui, étape par étape, révélera la mythique Calamity Jane."
UN HOMME HEUREUX,https://www.cine974.com/film/un-homme-heureux/48324/, 2580,https://www.cine974.com/images/affiches/moyen/un-homme-heureux-89iSD2Fw.jpg,"
								2023								",2580,3.1,1h29,6983, (16),1h29,Comédie,Français,2023,Tristan Séguéla,"
	
			avec Fabrice Luchini, Catherine Frot, Camille le Gall, Philippe Katerine, Artus,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles", 3.1 | 16 avis ,"Alors que Jean, maire très conservateur d'une petite ville du Nord, est en campagne pour sa réélection, Edith, sa femme depuis quarante ans, lui annonce une nouvelle qu’elle ne peut plus taire… Au plus profond de son être, elle est - et a toujours été - un homme.

Jean pense d’abord à une plaisanterie mais réalise rapidement qu’Edith est sérieuse et déterminée à mener sa transition jusqu’au bout. Il comprend alors que son couple, mais aussi sa campagne électorale, risquent d’être sacrément chamboulés…"
LA PLUS BELLE POUR ALLER DANSER,https://www.cine974.com/film/la-plus-belle-pour-aller-danser/48327/, 2581,https://www.cine974.com/images/affiches/moyen/la-plus-belle-pour-aller-danser-XeD3hXSK.jpg,"
								2023								",2581,3.1,1h22,5954, (16),1h22,Comédie,Français,2023,Victoria Bedos,"
	
			avec Brune Moulin, Philippe Katerine, Pierre Richard, Alice Belaïdi, Loup Pinard,  plus...
	","conseillé en Famille, en Amoureux, entre Amis, entre Filles, en Solo", 3.1 | 16 avis ,"Marie-Luce Bison, 14 ans, est élevée par son père dans une joyeuse pension de famille pour seniors dont il est le directeur. C'est bientôt la soirée déguisée de son nouveau collège : son père ne veut pas qu'elle y aille ... et de toute façon, elle n'est pas invitée. Mais poussée par Albert, son meilleur ami de 80 ans, Marie-Luce, s'y incruste, habillée en homme. Ce soir-là, tout le monde la prend pour un garçon… un garçon que l’on regarde et qui plait. Elle décide alors de s’inventer un double masculin prénommé Léo pour vivre enfin sa vie d’ado. Bien entendu, à la maison, la relation avec son père se complique."
L.627,https://www.cine974.com/film/l627/30664/, 2582,https://www.cine974.com/images/affiches/moyen/l-627-SRejSrDW.jpg,"
								1992								",2582,3.1,2h25,6420, (16),2h25,Policier,Français,1992,Bertrand Tavernier,"
	
			avec Didier Bezace, Jean-Roger Milo, Charlotte Kady, Jean-Paul Comart, Nils Tavernier,  plus...
	",, 3.1 | 16 avis ,
MADAME DE SÉVIGNÉ,https://www.cine974.com/film/madame-de-sevigne/49209/, 2583,https://www.cine974.com/images/affiches/moyen/madame-de-sevigne-RC7vQxu1.jpg,"
								2023								",2583,3.1,1h33,3204, (15),1h33,Drame,Français,2023,Isabelle Brocard,"
	
			avec Karin Viard, Ana Girardot, Cédric Kahn, Laurent Grévill, Alain Libolt,  plus...
	",, 3.1 | 15 avis ,"Milieu du XVIIe siècle, la marquise de Sévigné voudrait faire de sa fille, une femme brillante et indépendante, à son image. Mais plus elle tente d’avoir prise sur le destin de la jeune femme et plus elle l’aliène. Mère et fille expérimentent alors les affres d’une passion singulière et dévastatrice. De ce ravage va naître une œuvre majeure de la littérature française."
LA MONTAGNE ENTRE NOUS,https://www.cine974.com/film/la-montagne-entre-nous/38579/, 2584,https://www.cine974.com/images/affiches/moyen/la-montagne-entre-nous-7IG2RHYr.jpg,"
								2017								",2584,3.1,1h47,12791, (15),1h47,Action,Américain,2017,Hany Abu-Assad,"
	
			avec Kate Winslet, Idris Elba, Beau Bridges, Dermot Mulroney, Linda Sorensen,  plus...
	",, 3.1 | 15 avis ,"Livrés à eux-mêmes après le crash de leur avion en pleine montagne, deux étrangers doivent compter l’un sur l’autre pour faire face aux conditions extrêmes. Réalisant qu’ils n’ont aucun espoir d’être secourus, ils tentent leur chance à travers des centaines de kilomètres de nature hostile, acceptant que ce n’est qu’ensemble qu’ils pourront trouver le courage de tenter de survivre."
LA FIN DE L'ÉTÉ,https://www.cine974.com/film/la-fin-de-l-ete/45239/, 2585,https://www.cine974.com/images/affiches/moyen/la-fin-de-l---t---WT89ZWUy.jpg,"
								2019								",2585,3.1,1h32,14178, (15),1h32,Romance,Français,2019,Hélène Angel,"
	
			avec Bernard Le Coq, Christiane Millet, Talid Ariss, Maël Rouin Berrandou, Alexia Chardard,  plus...
	",, 3.1 | 15 avis ,"Ali, 16 ans et son petit frère Selim passent leurs vacances d’été en Dordogne chez leurs grands-parents. L’occasion pour Ali de quitter enfin le monde de l’enfance : il l’a décidé, il est prêt pour l’amour, prêt pour sa première fois, le temps d’un été à jamais inoubliable. En écho de ses découvertes, celle plus douloureuse de ses grands-parents aux prises avec la maladie qui s’installe. Une proposition subtile et lumineuse sur le sentiment amoureux aux différents âges de la vie."
